Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1781579105,10,,Aggregated,2.000000,0.000000,1500,2200,2600,2900,4500,5900,9100,9200,9500,9500,9500,203,0,1500,2040.8929820739377,128.58166200021515,9513.688000999537,1222.152709359606
1781579106,10,,Aggregated,2.200000,0.000000,1500,2300,2600,3000,4500,5900,9100,9200,9500,9500,9500,206,0,1500,2058.071587344697,128.58166200021515,9513.688000999537,1225.8009708737864
1781579107,10,,Aggregated,2.100000,0.000000,1500,2400,2700,3000,4500,5900,9100,9200,9500,9500,9500,208,0,1500,2063.956110447146,128.58166200021515,9513.688000999537,1225.3365384615386
1781579109,10,,Aggregated,2.100000,0.000000,1600,2400,2700,3100,4500,5900,9100,9200,9500,9500,9500,212,0,1600,2074.373058070792,128.58166200021515,9513.688000999537,1226.4245283018868
1781579110,10,,Aggregated,2.100000,0.000000,1600,2400,2700,3100,4500,5900,9100,9200,9500,9500,9500,213,0,1600,2071.3227323427564,128.58166200021515,9513.688000999537,1225.5492957746478
1781579111,10,,Aggregated,2.100000,0.000000,1600,2400,2700,3000,4500,5900,9100,9200,9500,9500,9500,220,0,1600,2060.058866618222,128.58166200021515,9513.688000999537,1223.6363636363637
1781579112,10,,Aggregated,2.200000,0.000000,1600,2400,2600,2900,4300,5800,9100,9200,9500,9500,9500,222,0,1500,2046.907841450489,128.58166200021515,9513.688000999537,1222.3108108108108
1781579113,10,,Aggregated,2.100000,0.000000,1500,2400,2600,2900,4300,5800,9100,9200,9500,9500,9500,225,0,1500,2022.6000112444804,128.58166200021515,9513.688000999537,1218.4222222222222
1781579114,10,,Aggregated,2.700000,0.000000,1500,2300,2600,2900,4300,5800,9100,9200,9500,9500,9500,227,0,1500,2017.6456577709598,128.58166200021515,9513.688000999537,1221.964757709251
1781579115,10,,Aggregated,2.700000,0.000000,1500,2300,2600,2800,4200,5800,9100,9200,9500,9500,9500,231,0,1500,2009.2016783463505,128.58166200021515,9513.688000999537,1221.8701298701299
